Run ID,Run Name,Project Step,Parameter,Value
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,selection_rule,"Highest Mean CV F1-score, then highest Mean CV ROC-AUC"
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,tracking_backend,sqlite
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,step,step_07_threshold_optimization_v3
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,script,script_01_optimize_threshold_best_tuned_model_v3
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,model_name,CatBoost
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,dataset_version,v3_encoded_unscaled
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,default_threshold,0.5
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,selected_threshold,0.5
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,cv_folds_for_oof_threshold_selection,5
ae73140013414812881e9e1b330970c6,threshold_optimization_v3_best_tuned_model,step_07_threshold_optimization_v3,threshold_selection_rule,Max OOF F1; within 0.005 choose higher Recall then Precision
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,step,step_08_final_champion_selection_packaging_v3
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,script,script_01_select_and_package_final_champion_model_v3
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,final_model_name,CatBoost
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,final_candidate_type,Threshold-Optimized Tuned Model
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,dataset_version,v3_encoded_unscaled
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,decision_threshold,0.5
1adf371724df4b328266e90894274d02,final_champion_v3_selection_and_packaging,step_08_final_champion_selection_packaging_v3,tracking_backend,sqlite
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,step,step_09_final_inference_module_v3
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,script,script_01_create_and_test_inference_module_v3
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,model_name,CatBoost
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,decision_threshold,0.5
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,feature_count,52
a01e9acba284426a8af821f2102a45c6,final_inference_module_v3_test,step_09_final_inference_module_v3,tracking_backend,sqlite
